week,spend_google,spend_meta,spend_linkedin,spend_indeed,richieste_clienti,ricerche_lavoratori,applications,baseline_true,contrib_google_true,contrib_meta_true,contrib_linkedin_true,contrib_indeed_true
2023-01-02,10053.82,6091.42,5272.72,6846.18,1649.0,4711.0,881.0,740.8,79.8,45.7,17.2,83.3
2023-01-09,7928.46,8420.02,4598.99,5506.22,1810.0,4882.0,1010.0,754.6,74.9,78.1,24.5,83.6
2023-01-16,11362.88,6287.73,2990.81,7473.31,1776.0,4904.0,1012.0,769.3,99.4,79.0,23.3,102.7
2023-01-23,12038.9,9016.68,4238.22,8204.74,1966.0,4784.0,1041.0,784.2,107.1,94.1,26.4,111.2
2023-01-30,6881.21,8505.54,3486.84,7537.04,1814.0,4696.0,1022.0,798.9,71.2,97.9,25.9,108.0
2023-02-06,8372.83,1384.54,4131.64,6915.13,1969.0,4926.0,1043.0,812.7,77.2,59.2,27.5,102.4
2023-02-13,11541.67,1458.98,5979.59,8135.97,1751.0,5107.0,1008.0,825.3,100.9,38.6,33.4,110.7
2023-02-20,10975.89,7700.0,5405.82,7327.83,1887.0,5151.0,1111.0,836.4,100.4,71.2,34.9,106.3
2023-02-27,11963.71,9722.64,4370.96,9347.19,1863.0,5204.0,1145.0,845.8,106.7,94.7,33.2,119.0
2023-03-06,10463.51,8511.92,4210.83,5524.38,1762.0,5436.0,1181.0,853.4,97.9,98.2,31.7,92.9
2023-03-13,14731.09,7434.19,5330.41,7966.44,1838.0,5424.0,1205.0,859.5,122.7,94.3,33.9,107.9
2023-03-20,14892.78,7544.07,4251.29,5588.3,1912.0,5497.0,1199.0,864.3,126.8,93.1,32.2,90.2
2023-03-27,13553.37,10357.7,4906.7,6526.43,1780.0,5715.0,1219.0,868.0,120.2,106.3,33.0,95.4
2023-04-03,16484.82,13199.57,6030.77,11379.01,1664.0,5668.0,1280.0,871.1,134.5,123.7,36.3,127.9
2023-04-10,15166.6,10794.18,7041.06,10829.01,1795.0,5805.0,1326.0,874.0,130.0,121.4,40.1,129.8
2023-04-17,12042.14,10455.99,6586.05,8267.1,1726.0,5827.0,1232.0,877.1,112.0,118.9,41.2,117.5
2023-04-24,144.31,11410.02,3542.29,7037.21,1779.0,5609.0,1112.0,880.9,14.3,121.7,34.9,105.7
